# === Training Log ===

## METADATA (JSON)
{
  "model_class": "Model",
  "model_module": "__main__",
  "model_str": "Model(\n  (net): Sequential(\n    (0): Linear(in_features=2, out_features=5, bias=True)\n    (1): Tanh()\n    (2): Linear(in_features=5, out_features=5, bias=True)\n    (3): Tanh()\n    (4): Linear(in_features=5, out_features=1, bias=True)\n  )\n)",
  "num_parameters": 51,
  "num_trainable_parameters": 51,
  "optimizer_class": "Adam",
  "optimizer_module": "torch.optim.adam",
  "optimizer_params": {
    "amsgrad": false,
    "betas": [
      0.9,
      0.999
    ],
    "capturable": false,
    "decoupled_weight_decay": false,
    "differentiable": false,
    "eps": 1e-08,
    "foreach": null,
    "fused": null,
    "lr": 0.001,
    "maximize": false,
    "weight_decay": 1e-06
  },
  "stopped": false
}

## BEGIN TRAIN DATA
       iteration            loss        residual        boundary         initial   observational             mse             mae
    8.800000e+01    2.003640e-02    1.277123e-02    5.771727e-03    0.000000e+00    1.493441e-03    1.507717e-03    2.924217e-02
    8.900000e+01    1.896303e-02    1.192860e-02    5.569168e-03    0.000000e+00    1.465263e-03    1.336110e-03    2.637185e-02
    9.000000e+01    1.759441e-02    1.109222e-02    5.104348e-03    0.000000e+00    1.397840e-03    1.128916e-03    2.558604e-02
    9.100000e+01    1.574774e-02    1.048782e-02    4.099401e-03    0.000000e+00    1.160517e-03    1.137875e-03    2.708050e-02
    9.200000e+01    1.518565e-02    9.487470e-03    4.475938e-03    0.000000e+00    1.222242e-03    1.032056e-03    2.426409e-02
    9.300000e+01    1.333025e-02    8.789651e-03    3.522962e-03    0.000000e+00    1.017633e-03    9.051899e-04    2.311620e-02
    9.400000e+01    1.209736e-02    7.948794e-03    3.177612e-03    0.000000e+00    9.709498e-04    6.689329e-04    2.029759e-02
    9.500000e+01    1.087724e-02    7.469539e-03    2.635482e-03    0.000000e+00    7.722181e-04    6.399726e-04    1.840448e-02
    9.600000e+01    1.072934e-02    7.175623e-03    2.757138e-03    0.000000e+00    7.965820e-04    6.224912e-04    2.058179e-02
    9.700000e+01    9.729950e-03    6.325763e-03    2.631477e-03    0.000000e+00    7.727107e-04    7.028236e-04    2.035122e-02
    9.800000e+01    8.291441e-03    5.789719e-03    1.909399e-03    0.000000e+00    5.923233e-04    4.602817e-04    1.665790e-02
    9.900000e+01    9.130045e-03    6.226855e-03    2.223806e-03    0.000000e+00    6.793843e-04    6.116224e-04    1.999805e-02
    1.000000e+02    8.451276e-03    5.785752e-03    2.035698e-03    0.000000e+00    6.298261e-04    7.292776e-04    2.057789e-02
    1.010000e+02    7.174163e-03    5.088795e-03    1.532407e-03    0.000000e+00    5.529602e-04    5.183606e-04    1.720173e-02
    1.020000e+02    6.856916e-03    4.875654e-03    1.452108e-03    0.000000e+00    5.291536e-04    4.511774e-04    1.620207e-02
    1.030000e+02    7.448570e-03    5.230127e-03    1.652304e-03    0.000000e+00    5.661388e-04    6.303780e-04    1.876792e-02
    1.040000e+02    6.025705e-03    4.255682e-03    1.287630e-03    0.000000e+00    4.823936e-04    5.022759e-04    1.708970e-02
    1.050000e+02    6.139100e-03    4.394359e-03    1.251214e-03    0.000000e+00    4.935268e-04    3.573751e-04    1.519374e-02
    1.060000e+02    5.227166e-03    3.806945e-03    1.002804e-03    0.000000e+00    4.174173e-04    5.618933e-04    1.870152e-02
    1.070000e+02    5.391743e-03    4.017677e-03    9.672356e-04    0.000000e+00    4.068305e-04    3.957083e-04    1.536318e-02
    1.080000e+02    5.013095e-03    3.697530e-03    9.238834e-04    0.000000e+00    3.916812e-04    3.634297e-04    1.456664e-02
    1.090000e+02    4.747706e-03    3.509198e-03    8.681783e-04    0.000000e+00    3.703299e-04    3.425392e-04    1.465777e-02
    1.100000e+02    4.396433e-03    3.311507e-03    7.570152e-04    0.000000e+00    3.279102e-04    4.188892e-04    1.591252e-02
    1.110000e+02    4.689588e-03    3.488896e-03    8.468001e-04    0.000000e+00    3.538927e-04    3.564203e-04    1.593383e-02
    1.120000e+02    4.096638e-03    3.059608e-03    6.976321e-04    0.000000e+00    3.393983e-04    2.743971e-04    1.377980e-02
    1.130000e+02    4.169577e-03    3.039668e-03    7.841430e-04    0.000000e+00    3.457654e-04    2.218280e-04    1.205790e-02
    1.140000e+02    3.785422e-03    2.902883e-03    6.235288e-04    0.000000e+00    2.590105e-04    8.799784e-04    2.595083e-02
    1.150000e+02    3.484828e-03    2.676890e-03    5.191158e-04    0.000000e+00    2.888224e-04    2.086705e-04    1.163656e-02
    1.160000e+02    3.354556e-03    2.628702e-03    4.956956e-04    0.000000e+00    2.301585e-04    3.559017e-04    1.496524e-02
    1.170000e+02    3.255457e-03    2.505384e-03    4.975645e-04    0.000000e+00    2.525085e-04    1.696733e-04    1.071318e-02
    1.180000e+02    3.199335e-03    2.505298e-03    4.667647e-04    0.000000e+00    2.272725e-04    2.679348e-04    1.302979e-02
    1.190000e+02    3.095177e-03    2.441010e-03    4.289755e-04    0.000000e+00    2.251922e-04    2.555351e-04    1.224830e-02
    1.200000e+02    2.704826e-03    2.179096e-03    3.446943e-04    0.000000e+00    1.810360e-04    1.814827e-04    1.095947e-02
    1.210000e+02    2.779136e-03    2.167661e-03    3.970639e-04    0.000000e+00    2.144119e-04    1.657918e-04    1.068484e-02
    1.220000e+02    2.798975e-03    2.237674e-03    3.779060e-04    0.000000e+00    1.833949e-04    1.651146e-04    1.010479e-02
    1.230000e+02    2.723665e-03    2.163270e-03    3.663971e-04    0.000000e+00    1.939974e-04    1.452192e-04    9.816530e-03
    1.240000e+02    2.539718e-03    2.014261e-03    3.305175e-04    0.000000e+00    1.949401e-04    1.445171e-04    9.575288e-03
    1.250000e+02    2.570491e-03    2.092408e-03    3.139759e-04    0.000000e+00    1.641067e-04    1.244348e-04    8.615130e-03
    1.260000e+02    2.148583e-03    1.766764e-03    2.315315e-04    0.000000e+00    1.502880e-04    1.286763e-04    8.576067e-03
    1.270000e+02    2.223931e-03    1.862382e-03    2.326494e-04    0.000000e+00    1.288992e-04    1.422550e-04    8.933773e-03
    1.280000e+02    2.207486e-03    1.835548e-03    2.405480e-04    0.000000e+00    1.313901e-04    1.042265e-04    7.939459e-03
    1.290000e+02    2.066444e-03    1.718655e-03    2.173245e-04    0.000000e+00    1.304639e-04    1.383276e-04    8.735175e-03
    1.300000e+02    2.155514e-03    1.804352e-03    2.177594e-04    0.000000e+00    1.334022e-04    9.986831e-05    7.825000e-03
    1.310000e+02    2.055352e-03    1.724867e-03    2.029020e-04    0.000000e+00    1.275835e-04    9.921749e-05    8.141466e-03
    1.320000e+02    1.996828e-03    1.679020e-03    1.972578e-04    0.000000e+00    1.205510e-04    1.040517e-04    7.741268e-03
    1.330000e+02    1.878529e-03    1.603290e-03    1.612739e-04    0.000000e+00    1.139649e-04    8.643630e-05    7.143331e-03
    1.340000e+02    1.764441e-03    1.525190e-03    1.375014e-04    0.000000e+00    1.017491e-04    1.102998e-04    7.754317e-03
    1.350000e+02    1.766554e-03    1.522834e-03    1.355661e-04    0.000000e+00    1.081544e-04    8.957480e-05    7.317912e-03
    1.360000e+02    1.626632e-03    1.405272e-03    1.206669e-04    0.000000e+00    1.006937e-04    8.409884e-05    6.678267e-03
    1.370000e+02    1.899653e-03    1.607886e-03    1.724136e-04    0.000000e+00    1.193539e-04    1.156023e-04    7.953481e-03
    1.380000e+02    1.687934e-03    1.462829e-03    1.270430e-04    0.000000e+00    9.806124e-05    9.107678e-05    7.035285e-03
    1.390000e+02    1.601230e-03    1.397370e-03    1.072895e-04    0.000000e+00    9.657049e-05    1.058615e-04    7.459261e-03
    1.400000e+02    1.671836e-03    1.449875e-03    1.265824e-04    0.000000e+00    9.537766e-05    7.550302e-05    6.533439e-03
    1.410000e+02    1.537390e-03    1.345849e-03    1.060838e-04    0.000000e+00    8.545711e-05    1.192446e-04    8.287713e-03
    1.420000e+02    1.573131e-03    1.360731e-03    1.126604e-04    0.000000e+00    9.973934e-05    8.697657e-05    6.684618e-03
    1.430000e+02    1.469311e-03    1.303351e-03    8.565663e-05    0.000000e+00    8.030298e-05    8.118896e-05    6.632750e-03
    1.440000e+02    1.414579e-03    1.265257e-03    7.088234e-05    0.000000e+00    7.843991e-05    6.914656e-05    6.030520e-03
    1.450000e+02    1.578577e-03    1.365660e-03    1.211545e-04    0.000000e+00    9.176238e-05    7.586036e-05    7.203922e-03
    1.460000e+02    1.377746e-03    1.216824e-03    8.135121e-05    0.000000e+00    7.957090e-05    5.962648e-05    6.284724e-03
    1.470000e+02    1.545745e-03    1.361685e-03    9.826343e-05    0.000000e+00    8.579656e-05    6.966748e-05    6.836055e-03
    1.480000e+02    1.403762e-03    1.249457e-03    8.026282e-05    0.000000e+00    7.404166e-05    5.867575e-05    5.495550e-03
    1.490000e+02    1.308302e-03    1.172064e-03    6.401974e-05    0.000000e+00    7.221823e-05    7.780884e-05    6.114719e-03
    1.500000e+02    1.415359e-03    1.270285e-03    7.245669e-05    0.000000e+00    7.261777e-05    1.392685e-04    9.279520e-03
    1.510000e+02    1.265356e-03    1.150075e-03    5.067309e-05    0.000000e+00    6.460791e-05    4.930221e-05    5.174818e-03
    1.520000e+02    1.360148e-03    1.214328e-03    7.278534e-05    0.000000e+00    7.303550e-05    4.491211e-05    5.330311e-03
    1.530000e+02    1.345276e-03    1.210953e-03    6.528498e-05    0.000000e+00    6.903797e-05    5.298580e-05    5.896161e-03
    1.540000e+02    1.390505e-03    1.245695e-03    7.463069e-05    0.000000e+00    7.017870e-05    4.914957e-05    5.094706e-03
